player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS
K Kartikeya,12,9,12,295,212,1,0,7,10,175,185,15.416666666666666,1.0,15.416666666666666
Phkd Mendis,5,92,72,60,42,7,2,2,103,50,153,30.6,0.5,15.3
Sb Dubey,11,139,87,0,0,9,10,0,168,0,168,15.272727272727273,1.0,15.272727272727273
V Puthur,5,0,0,108,73,0,0,6,0,150,150,30.0,0.5,15.0
Kr Sen,5,0,0,142,98,0,0,6,0,150,150,30.0,0.5,15.0
S Sandeep Warrier,5,0,0,115,70,0,0,6,0,150,150,30.0,0.5,15.0
Zeeshan Ansari,10,0,0,327,209,0,0,6,0,150,150,15.0,1.0,15.0
W O'Rourke,3,0,0,129,64,0,0,6,0,150,150,50.0,0.3,15.0
R Powell,11,115,87,16,14,12,6,1,139,25,164,14.909090909090908,1.0,14.909090909090908
Umran Malik,9,19,8,221,131,1,2,5,24,125,149,16.555555555555557,0.9,14.900000000000002
R Tewatia,30,374,263,14,14,33,19,0,445,0,445,14.833333333333334,1.0,14.833333333333334
K Gowtham,8,61,44,142,113,2,5,3,73,75,148,18.5,0.8,14.8
Mw Short,6,117,99,24,25,15,4,0,140,0,140,23.333333333333332,0.6,13.999999999999998
Lalit Yadav,8,76,74,170,100,9,0,2,85,50,135,16.875,0.8,13.5
Sh Johnson,9,8,11,276,172,1,0,5,9,125,134,14.88888888888889,0.9,13.4
Ramandeep Singh,16,172,100,9,4,6,16,0,210,0,210,13.125,1.0,13.125
Anmolpreet Singh,6,110,90,0,0,16,2,0,130,0,130,21.666666666666668,0.6,13.0
Aman Hakim Khan,9,110,106,0,0,7,6,0,129,0,129,14.333333333333334,0.9,12.9
As Roy,8,26,23,148,110,3,0,4,29,100,129,16.125,0.8,12.9
Rjw Topley,6,3,6,217,125,0,0,5,3,125,128,21.333333333333332,0.6,12.799999999999999
Ka Jamieson,4,0,5,143,94,0,0,5,0,125,125,31.25,0.4,12.5
Harsh Dubey,3,0,0,97,61,0,0,5,0,125,125,41.666666666666664,0.3,12.499999999999998
Harpreet Singh,5,103,93,0,0,10,3,0,119,0,119,23.8,0.5,11.9
Dj Willey,4,35,32,101,94,4,0,3,39,75,114,28.5,0.4,11.4
Jo Holder,8,12,12,279,176,0,1,4,14,100,114,14.25,0.8,11.4
Dg Nalkande,4,12,12,86,56,0,1,4,14,100,114,28.5,0.4,11.4
Pvd Chameera,7,10,14,236,130,0,0,4,10,100,110,15.714285714285714,0.7,10.999999999999998
Pn Mankad,4,93,74,0,0,12,2,0,109,0,109,27.25,0.4,10.9
Dj Hooda,27,260,243,43,32,21,6,0,293,0,293,10.851851851851851,1.0,10.851851851851851
N Jagadeesan,6,89,84,0,0,14,1,0,105,0,105,17.5,0.6,10.5
Fazalhaq Farooqi,9,3,7,319,190,0,0,4,3,100,103,11.444444444444445,0.9,10.3
Hr Shokeen,8,23,19,178,119,4,0,3,27,75,102,12.75,0.8,10.200000000000001
L Ngidi,2,0,2,81,48,0,0,4,0,100,100,50.0,0.2,10.0
Mohammad Nabi,7,35,31,109,74,2,2,2,41,50,91,13.0,0.7,9.1
Arjun Tendulkar,5,13,9,104,83,0,1,3,15,75,90,18.0,0.5,9.0
Urvil Patel,3,68,34,0,0,5,6,0,85,0,85,28.333333333333332,0.3,8.5
Sk Rasheed,5,71,67,0,0,9,2,0,84,0,84,16.8,0.5,8.4
Jg Bethell,2,67,39,0,0,9,3,0,82,0,82,41.0,0.2,8.200000000000001
Vivrant Sharma,2,69,49,34,21,9,2,0,82,0,82,41.0,0.2,8.200000000000001
Pbb Rajapaksa,4,71,64,0,0,6,2,0,81,0,81,20.25,0.4,8.1
C Bosch,3,47,32,52,45,3,3,1,56,25,81,27.0,0.3,8.1
Cj Jordan,6,6,13,228,140,0,0,3,6,75,81,13.5,0.6,8.1
C Sakariya,3,4,6,120,74,1,0,3,5,75,80,26.666666666666668,0.3,8.0
Prince Yadav,6,5,11,218,144,0,0,3,5,75,80,13.333333333333334,0.6,8.0
Au Rashid,2,22,17,56,42,2,1,2,26,50,76,38.0,0.2,7.6000000000000005
K Khejroliya,3,0,0,90,47,0,0,3,0,75,75,25.0,0.3,7.5
S Gopal,3,0,0,67,42,0,0,3,0,75,75,25.0,0.3,7.5
Rs Hangargekar,2,0,0,53,43,0,0,3,0,75,75,37.5,0.2,7.5
Navdeep Saini,1,0,0,39,25,0,0,3,0,75,75,75.0,0.1,7.5
M Siddharth,5,0,0,131,101,0,0,3,0,75,75,15.0,0.5,7.5
Km Asif,4,0,2,129,91,0,0,3,0,75,75,18.75,0.4,7.5
Gd Phillips,5,39,22,20,18,2,4,1,49,25,74,14.8,0.5,7.4
P Dubey,2,16,20,38,31,2,0,2,18,50,68,34.0,0.2,6.800000000000001
Ss Prabhudessai,5,59,51,0,0,4,2,0,67,0,67,13.4,0.5,6.7
Xc Bartlett,4,11,15,96,60,1,0,2,12,50,62,15.5,0.4,6.2
Kt Maphaka,4,8,3,138,71,2,0,2,10,50,60,15.0,0.4,6.0
Sn Khan,4,53,62,0,0,4,1,0,59,0,59,14.75,0.4,5.9
T Kohler-Cadmore,3,48,54,0,0,7,1,0,57,0,57,19.0,0.3,5.7
Rv Patel,4,49,44,0,0,3,1,0,54,0,54,13.5,0.4,5.4
Rj Gleeson,3,2,2,105,73,0,0,2,2,50,52,17.333333333333332,0.3,5.199999999999999
Ka Maharaj,2,1,2,39,36,0,0,2,1,50,51,25.5,0.2,5.1000000000000005
V Kaverappa,1,0,0,36,24,0,0,2,0,50,50,50.0,0.1,5.0
Tg Southee,2,0,0,79,36,0,0,2,0,50,50,25.0,0.2,5.0
K Yadav,2,0,0,68,42,0,0,2,0,50,50,25.0,0.2,5.0
Mayank Dagar,8,0,1,198,138,0,0,2,0,50,50,6.25,0.8,5.0
R Dhawan,6,20,12,94,61,1,1,1,23,25,48,8.0,0.6,4.8
Aj Hosein,1,16,11,40,24,1,1,1,19,25,44,44.0,0.1,4.4
Vishnu Vinod,3,37,32,0,0,2,2,0,43,0,43,14.333333333333334,0.3,4.3
L Wood,2,9,3,91,38,0,1,1,11,25,36,18.0,0.2,3.6
V Viyaskanth,3,7,5,86,60,0,0,1,7,25,32,10.666666666666666,0.3,3.1999999999999997
Ks Williamson,2,27,27,0,0,4,0,0,31,0,31,15.5,0.2,3.1
Md Shanaka,3,26,26,0,0,2,1,0,30,0,30,10.0,0.3,3.0
Sanvir Singh,5,25,22,0,0,2,1,0,29,0,29,5.8,0.5,2.9
Tanush Kotian,1,24,32,0,0,3,0,0,27,0,27,27.0,0.1,2.7
D Wiese,3,21,11,38,18,0,3,0,27,0,27,9.0,0.3,2.6999999999999997
Lb Williams,2,1,2,61,42,0,0,1,1,25,26,13.0,0.2,2.6
Sediqullah Atal,1,22,16,0,0,0,2,0,26,0,26,26.0,0.1,2.6
Pvsn Raju,2,1,1,48,29,0,0,1,1,25,26,13.0,0.2,2.6
Mukesh Choudhary,3,0,0,97,43,0,0,1,0,25,25,8.333333333333334,0.3,2.5
Mujeeb Ur Rahman,1,0,0,23,13,0,0,1,0,25,25,25.0,0.1,2.5
Bkg Mendis,1,20,11,0,0,1,2,0,25,0,25,25.0,0.1,2.5
D Jansen,1,0,0,49,28,0,0,1,0,25,25,25.0,0.1,2.5
Mj Henry,4,0,0,108,74,0,0,1,0,25,25,6.25,0.4,2.5
Musheer Khan,1,0,3,27,12,0,0,1,0,25,25,25.0,0.1,2.5
Aj Turner,2,21,20,0,0,0,2,0,25,0,25,12.5,0.2,2.5
Kartik Tyagi,4,0,0,134,70,0,0,1,0,25,25,6.25,0.4,2.5
Ssb Magala,2,0,0,50,37,0,0,1,0,25,25,12.5,0.2,2.5
Pk Garg,2,22,23,0,0,1,0,0,23,0,23,11.5,0.2,2.3000000000000003
Gulbadin Naib,2,19,15,12,6,1,1,0,22,0,22,11.0,0.2,2.2
Sumit Kumar,3,18,26,36,22,2,1,0,22,0,22,7.333333333333333,0.3,2.1999999999999997
Saurav Chauhan,3,18,16,0,0,1,1,0,21,0,21,7.0,0.3,2.1
J Overton,3,15,7,78,41,1,1,0,18,0,18,6.0,0.3,1.7999999999999998
Ba Stokes,2,15,15,18,6,2,0,0,17,0,17,8.5,0.2,1.7000000000000002
Mp Breetzke,1,14,12,0,0,1,1,0,17,0,17,17.0,0.1,1.7000000000000002
Yv Dhull,3,16,23,0,0,1,0,0,17,0,17,5.666666666666667,0.3,1.7
Mandeep Singh,3,14,16,0,0,0,1,0,16,0,16,5.333333333333333,0.3,1.5999999999999999
Km Jadhav,1,12,10,0,0,1,0,0,13,0,13,13.0,0.1,1.3
Ks Sharma,2,12,21,0,0,0,0,0,12,0,12,6.0,0.2,1.2000000000000002
M Vohra,1,10,11,0,0,1,0,0,11,0,11,11.0,0.1,1.1
Aa Kulkarni,2,9,8,0,0,2,0,0,11,0,11,5.5,0.2,1.1
Je Root,2,10,15,14,12,1,0,0,11,0,11,5.5,0.2,1.1
Pwa Mulder,1,9,12,16,6,1,0,0,10,0,10,10.0,0.1,1.0
