player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS,Predicted_Fantasy_Score,clean_name_x,clean_name_y,Role,Team_2025
Ks Rathore,1,0,5,0,0,0,0,0,0,0,0,0,0.1,0,0,-6,,0,-6,-5.939666667,ks rathore,ks rathore,BAT WK,RR
Tg Southee,2,0,0,79,36,0,0,2,0,50,50,25,0.2,5,0,-6,13.16666667,-6,-7,-5.945333333,tg southee,tim southee,BOWL,-
Mujeeb Ur Rahman,1,0,0,23,13,0,0,1,0,25,25,25,0.1,2.5,0,-6,10.61538462,-2,-5.5,-6.051666667,mujeeb ur rahman,mujeeb ur rahman,BOWL,-
Mukesh Choudhary,3,0,0,97,43,0,0,1,0,25,25,8.333333333,0.3,2.5,0,-6,13.53488372,-6,-9.5,-6.48,mukesh choudhary,mukesh choudhary,BOWL,CSK
Oc Mccoy,1,0,0,12,7,0,0,0,0,0,0,0,0.1,0,0,-6,10.28571429,-2,-8,-7.248666667,oc mccoy,oc mccoy,BOWL,-
Suryansh Shedge,3,7,12,39,19,0,0,0,7,0,7,2.333333333,0.3,0.7,58.33333333,-4,12.31578947,-6,-9.3,-8.438666667,suryansh shedge,suryansh shedge,AR,PBKS
H Sharma,2,0,0,57,30,0,0,0,0,0,0,0,0.2,0,0,-6,11.4,-4,-10,-9.357,h sharma,h sharma,BOWL,-
Musheer Khan,1,0,3,27,12,0,0,1,0,25,25,25,0.1,2.5,0,-6,13.5,-6,-9.5,-9.399,musheer khan,musheer khan,AR,PBKS
Mohit Rathee,1,1,2,29,12,0,0,0,1,0,1,1,0.1,0.1,50,-4,14.5,-6,-9.9,-9.423333333,mohit rathee,mohit rathee,BOWL,RCB
Mj Suthar,1,1,2,26,12,0,0,0,1,0,1,1,0.1,0.1,50,-4,13,-6,-9.9,-9.455666667,mj suthar,mj suthar,BOWL,-
Gurnoor Brar,1,0,0,39,21,0,0,0,0,0,0,0,0.1,0,0,-6,11.14285714,-4,-10,-9.652333333,gurnoor brar,gurnoor brar,BOWL,GT
Karim Janat,1,0,0,30,6,0,0,0,0,0,0,0,0.1,0,0,-6,30,-6,-12,-10.92666667,karim janat,karim janat,AR,GT
M Ashwin,2,0,0,52,25,0,0,0,0,0,0,0,0.2,0,0,-6,12.48,-6,-12,-11.063,m ashwin,m ashwin,BOWL,-
