player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS,Predicted_Fantasy_Score,clean_name_x,clean_name_y,Role,Team_2025
Kt Maphaka,4,8,3,138,71,2,0,2,10,50,60,15,0.4,6,266.6666667,6,11.66197183,-4,8,9.699666667,kt maphaka,,BOWL,RR
Ss Prabhudessai,5,59,51,0,0,4,2,0,67,0,67,13.4,0.5,6.7,115.6862745,0,,0,6.7,9.591333333,ss prabhudessai,suyash prabhudessai,AR,-
Mohammad Nabi,7,35,31,109,74,2,2,2,41,50,91,13,0.7,9.1,112.9032258,0,8.837837838,0,9.1,9.524042649,mohammad nabi,mohammad nabi,AR,-
Kr Sen,5,0,0,142,98,0,0,6,0,150,150,30,0.5,15,0,-6,8.693877551,0,9,9.078666667,kr sen,,BOWL,PBKS
S Sandeep Warrier,5,0,0,115,70,0,0,6,0,150,150,30,0.5,15,0,-6,9.857142857,0,9,8.964666667,s sandeep warrier,,BOWL,-
V Puthur,5,0,0,108,73,0,0,6,0,150,150,30,0.5,15,0,-6,8.876712329,0,9,8.950333333,v puthur,,BOWL,MI
Sk Rasheed,5,71,67,0,0,9,2,0,84,0,84,16.8,0.5,8.4,105.9701493,0,,0,8.4,8.708333333,sk rasheed,shaik rasheed,BAT,CSK
Pvd Chameera,7,10,14,236,130,0,0,4,10,100,110,15.71428571,0.7,11,71.42857143,0,10.89230769,-2,9,8.306,pvd chameera,,BOWL,DC
Pbb Rajapaksa,4,71,64,0,0,6,2,0,81,0,81,20.25,0.4,8.1,110.9375,0,,0,8.1,8.073333333,pbb rajapaksa,,BAT,-
Dg Nalkande,4,12,12,86,56,0,1,4,14,100,114,28.5,0.4,11.4,100,0,9.214285714,0,11.4,7.263333333,dg nalkande,,BOWL,DC
T Kohler-Cadmore,3,48,54,0,0,7,1,0,57,0,57,19,0.3,5.7,88.88888889,0,,0,5.7,6.814666667,t kohlercadmore,tom kohlercadmore,BAT WK,-
Rjw Topley,6,3,6,217,125,0,0,5,3,125,128,21.33333333,0.6,12.8,50,-4,10.416,-2,6.8,6.758333333,rjw topley,,BOWL,MI
Ka Jamieson,4,0,5,143,94,0,0,5,0,125,125,31.25,0.4,12.5,0,-6,9.127659574,0,6.5,6.548666667,ka jamieson,kyle jamieson,BOWL,PBKS
Au Rashid,2,22,17,56,42,2,1,2,26,50,76,38,0.2,7.6,129.4117647,0,8,0,7.6,6.536333333,au rashid,rashid khan,BOWL,GT
Sn Khan,4,53,62,0,0,4,1,0,59,0,59,14.75,0.4,5.9,85.48387097,0,,0,5.9,6.459333333,sn khan,,BAT,-
Rv Patel,4,49,44,0,0,3,1,0,54,0,54,13.5,0.4,5.4,111.3636364,0,,0,5.4,6.437333333,rv patel,,BAT,-
Vishnu Vinod,3,37,32,0,0,2,2,0,43,0,43,14.33333333,0.3,4.3,115.625,0,,0,4.3,6.23,vishnu vinod,vishnu vinod,BAT WK,PBKS
Fazalhaq Farooqi,9,3,7,319,190,0,0,4,3,100,103,11.44444444,0.9,10.3,42.85714286,-6,10.07368421,-2,2.3,6.185,fazalhaq farooqi,fazalhaq farooqi,BOWL,RR
Xc Bartlett,4,11,15,96,60,1,0,2,12,50,62,15.5,0.4,6.2,73.33333333,0,9.6,0,6.2,5.660333333,xc bartlett,,BOWL ,PBKS
P Dubey,2,16,20,38,31,2,0,2,18,50,68,34,0.2,6.8,80,0,7.35483871,0,6.8,4.973,p dubey,,BOWL,PBKS
Sanvir Singh,5,25,22,0,0,2,1,0,29,0,29,5.8,0.5,2.9,113.6363636,0,,0,2.9,4.740333333,sanvir singh,sanvir singh,AR,-
Rj Gleeson,3,2,2,105,73,0,0,2,2,50,52,17.33333333,0.3,5.2,100,0,8.630136986,0,5.2,4.417,rj gleeson,,BOWL,MI
V Viyaskanth,3,7,5,86,60,0,0,1,7,25,32,10.66666667,0.3,3.2,140,2,8.6,0,5.2,4.166666667,v viyaskanth,,BOWL,-
Sediqullah Atal,1,22,16,0,0,0,2,0,26,0,26,26,0.1,2.6,137.5,2,,0,4.6,3.524333333,sediqullah atal,sediqullah atal,BAT,DC
Aj Hosein,1,16,11,40,24,1,1,1,19,25,44,44,0.1,4.4,145.4545455,2,10,-2,4.4,3.352666667,aj hosein,,BOWL,-
Ks Williamson,2,27,27,0,0,4,0,0,31,0,31,15.5,0.2,3.1,100,0,,0,3.1,3.148666667,ks williamson,kane williamson,BAT,-
Md Shanaka,3,26,26,0,0,2,1,0,30,0,30,10,0.3,3,100,0,,0,3,3.132666667,md shanaka,,AR,-
